"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 11 19:47:56 UTC 2025","Thu Dec 11 19:48:00 UTC 2025","4536","","","","","","[QA] register verify user is able to register Charlie",""
"passed","Thu Dec 11 19:49:34 UTC 2025","Thu Dec 11 19:49:39 UTC 2025","4965","","","","","","[QA] verify product Images MacBook Pro : 4",""
"passed","Thu Dec 11 19:46:55 UTC 2025","Thu Dec 11 19:47:01 UTC 2025","5565","","","","","","[QA] verify product Header Samsung Galaxy Tab 10.1",""
"passed","Thu Dec 11 19:47:37 UTC 2025","Thu Dec 11 19:47:42 UTC 2025","5057","","","","","","[QA] verify product MetaData",""
"passed","Thu Dec 11 19:47:32 UTC 2025","Thu Dec 11 19:47:37 UTC 2025","4955","","","","","","[QA] verify product Images Canon EOS 5D : 3",""
"passed","Thu Dec 11 19:50:36 UTC 2025","Thu Dec 11 19:50:39 UTC 2025","3563","","","","","","[QA] verify product search macbook",""
"passed","Thu Dec 11 19:47:27 UTC 2025","Thu Dec 11 19:47:32 UTC 2025","5049","","","","","","[QA] verify product Images Samsung SyncMaster 941BW : 1",""
"passed","Thu Dec 11 19:47:06 UTC 2025","Thu Dec 11 19:47:12 UTC 2025","5529","","","","","","[QA] verify product Header Canon EOS 5D",""
"passed","Thu Dec 11 19:50:09 UTC 2025","Thu Dec 11 19:50:13 UTC 2025","4463","","","","","","[QA] register verify user is able to register Alice",""
"passed","Thu Dec 11 19:49:39 UTC 2025","Thu Dec 11 19:49:44 UTC 2025","4922","","","","","","[QA] verify product Images MacBook Air : 4",""
"passed","Thu Dec 11 19:49:44 UTC 2025","Thu Dec 11 19:49:49 UTC 2025","4883","","","","","","[QA] verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Thu Dec 11 19:48:00 UTC 2025","Thu Dec 11 19:48:15 UTC 2025","14532","","","","","","[QA] CSV Data Driven Registration",""
"passed","Thu Dec 11 19:49:18 UTC 2025","Thu Dec 11 19:49:23 UTC 2025","5166","","","","","","[QA] verify product Header Samsung Galaxy Tab 10.1",""
"passed","Thu Dec 11 19:50:17 UTC 2025","Thu Dec 11 19:50:22 UTC 2025","4453","","","","","","[QA] register verify user is able to register Charlie",""
"passed","Thu Dec 11 19:46:50 UTC 2025","Thu Dec 11 19:46:55 UTC 2025","5528","","","","","","[QA] verify product Header MacBook Air",""
"passed","Thu Dec 11 19:47:22 UTC 2025","Thu Dec 11 19:47:27 UTC 2025","5041","","","","","","[QA] verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Thu Dec 11 19:47:01 UTC 2025","Thu Dec 11 19:47:06 UTC 2025","5356","","","","","","[QA] verify product Header Samsung SyncMaster 941BW",""
"passed","Thu Dec 11 19:50:13 UTC 2025","Thu Dec 11 19:50:17 UTC 2025","4446","","","","","","[QA] register verify user is able to register Bob",""
"passed","Thu Dec 11 19:49:58 UTC 2025","Thu Dec 11 19:50:04 UTC 2025","5115","","","","","","[QA] verify product MetaData",""
"passed","Thu Dec 11 19:46:00 UTC 2025","Thu Dec 11 19:46:17 UTC 2025","17019","","","","","","[QA] verify valid login @login",""
"passed","Thu Dec 11 19:46:44 UTC 2025","Thu Dec 11 19:46:50 UTC 2025","5575","","","","","","[QA] verify product Header MacBook Pro",""
"passed","Thu Dec 11 19:46:41 UTC 2025","Thu Dec 11 19:46:44 UTC 2025","3000","","","","","","[QA] verify invalid login",""
"passed","Thu Dec 11 19:49:54 UTC 2025","Thu Dec 11 19:49:58 UTC 2025","4862","","","","","","[QA] verify product Images Canon EOS 5D : 3",""
"passed","Thu Dec 11 19:49:49 UTC 2025","Thu Dec 11 19:49:54 UTC 2025","4945","","","","","","[QA] verify product Images Samsung SyncMaster 941BW : 1",""
"passed","Thu Dec 11 19:48:19 UTC 2025","Thu Dec 11 19:48:22 UTC 2025","3647","","","","","","[QA] verify product search samsung",""
"passed","Thu Dec 11 19:47:52 UTC 2025","Thu Dec 11 19:47:56 UTC 2025","4326","","","","","","[QA] register verify user is able to register Bob",""
"passed","Thu Dec 11 19:50:43 UTC 2025","Thu Dec 11 19:50:46 UTC 2025","3286","","","","","","[QA] verify product search imac",""
"passed","Thu Dec 11 19:49:07 UTC 2025","Thu Dec 11 19:49:13 UTC 2025","5558","","","","","","[QA] verify product Header MacBook Pro",""
"passed","Thu Dec 11 19:50:46 UTC 2025","Thu Dec 11 19:50:50 UTC 2025","3525","","","","","","[QA] verify product search canon",""
"passed","Thu Dec 11 19:48:34 UTC 2025","Thu Dec 11 19:48:47 UTC 2025","12610","","","","","","[QA] verify valid login @login",""
"passed","Thu Dec 11 19:47:17 UTC 2025","Thu Dec 11 19:47:22 UTC 2025","5015","","","","","","[QA] verify product Images MacBook Air : 4",""
"passed","Thu Dec 11 19:47:42 UTC 2025","Thu Dec 11 19:47:47 UTC 2025","5063","","","","","","[QA] verify product Pricing",""
"passed","Thu Dec 11 19:49:04 UTC 2025","Thu Dec 11 19:49:07 UTC 2025","2828","","","","","","[QA] verify invalid login",""
"passed","Thu Dec 11 19:50:39 UTC 2025","Thu Dec 11 19:50:43 UTC 2025","3288","","","","","","[QA] verify product search samsung",""
"passed","Thu Dec 11 19:49:13 UTC 2025","Thu Dec 11 19:49:18 UTC 2025","5376","","","","","","[QA] verify product Header MacBook Air",""
"passed","Thu Dec 11 19:48:26 UTC 2025","Thu Dec 11 19:48:30 UTC 2025","3654","","","","","","[QA] verify product search canon",""
"passed","Thu Dec 11 19:50:50 UTC 2025","Thu Dec 11 19:50:53 UTC 2025","3471","","","","","","[QA] verify product search Dummy",""
"passed","Thu Dec 11 19:48:30 UTC 2025","Thu Dec 11 19:48:33 UTC 2025","3629","","","","","","[QA] verify product search Dummy",""
"passed","Thu Dec 11 19:50:04 UTC 2025","Thu Dec 11 19:50:09 UTC 2025","4977","","","","","","[QA] verify product Pricing",""
"passed","Thu Dec 11 19:48:15 UTC 2025","Thu Dec 11 19:48:19 UTC 2025","3838","","","","","","[QA] verify product search macbook",""
"passed","Thu Dec 11 19:49:29 UTC 2025","Thu Dec 11 19:49:34 UTC 2025","5194","","","","","","[QA] verify product Header Canon EOS 5D",""
"passed","Thu Dec 11 19:50:22 UTC 2025","Thu Dec 11 19:50:36 UTC 2025","13847","","","","","","[QA] CSV Data Driven Registration",""
"passed","Thu Dec 11 19:49:23 UTC 2025","Thu Dec 11 19:49:29 UTC 2025","5224","","","","","","[QA] verify product Header Samsung SyncMaster 941BW",""
"passed","Thu Dec 11 19:48:23 UTC 2025","Thu Dec 11 19:48:26 UTC 2025","3652","","","","","","[QA] verify product search imac",""
"passed","Thu Dec 11 19:47:12 UTC 2025","Thu Dec 11 19:47:17 UTC 2025","4949","","","","","","[QA] verify product Images MacBook Pro : 4",""
"passed","Thu Dec 11 19:47:47 UTC 2025","Thu Dec 11 19:47:52 UTC 2025","4613","","","","","","[QA] register verify user is able to register Alice",""
